"","x"
"1","Abl1"
"2","Actb"
"3","Acvr1"
"4","Acvr1b"
"5","Ahr"
"6","Aif1"
"7","Alox8"
"8","Ank3"
"9","Anxa11"
"10","Apbb1"
"11","Apbb2"
"12","Apc"
"13","Apex1"
"14","Birc2"
"15","Birc5"
"16","Nr2f2"
"17","App"
"18","Arf1"
"19","Arf6"
"20","Rhoa"
"21","Rhob"
"22","Rhoc"
"23","Arntl"
"24","Atf2"
"25","Atm"
"26","Axin2"
"27","Bach1"
"28","Bad"
"29","Bak1"
"30","Bax"
"31","Phb2"
"32","Bcl2"
"33","Bcl2l1"
"34","Bex2"
"35","Bid"
"36","Bcl2l11"
"37","Blm"
"38","Cxcr5"
"39","Bmp4"
"40","Bmp7"
"41","Bnip2"
"42","Bop1"
"43","Brca1"
"44","Brca2"
"45","Zfp36l1"
"46","Zfp36l2"
"47","Birc6"
"48","Btc"
"49","Btg1"
"50","Btg2"
"51","Btg3"
"52","Btrc"
"53","Bub1"
"54","Bub1b"
"55","Bub3"
"56","Cacnb4"
"57","Calm1"
"58","Calm2"
"59","Calm3"
"60","Aspm"
"61","Calr"
"62","Camk2a"
"63","Camk2b"
"64","Camk2g"
"65","Capn3"
"66","Casp2"
"67","Casp3"
"68","Cast"
"69","Ctnnb1"
"70","Runx3"
"71","Rb1cc1"
"72","Ccna2"
"73","Ccnb2"
"74","Ccnd1"
"75","Ccnd2"
"76","Ccnd3"
"77","Ccne1"
"78","Ccne2"
"79","Ccnf"
"80","Ccng1"
"81","Ccng2"
"82","Ccni"
"83","Ccnk"
"84","Ccnt1"
"85","Cd28"
"86","Cd2ap"
"87","Cdc25a"
"88","Cdc25b"
"89","Cdc25c"
"90","Cdk1"
"91","Cdk11b"
"92","Cdc42"
"93","Cdc45"
"94","Cdc7"
"95","Cdk2"
"96","Cdk4"
"97","Cdk5"
"98","Cdk5r1"
"99","Cdk6"
"100","Cdk7"
"101","Cdkn1a"
"102","Cdkn1b"
"103","Cdkn2a"
"104","Cdkn2b"
"105","Cdkn2c"
"106","Cdkn2d"
"107","Cenpa"
"108","Cenpc1"
"109","Cetn3"
"110","Cfl1"
"111","Chek1"
"112","Cirbp"
"113","Cit"
"114","Clgn"
"115","Clock"
"116","Clta"
"117","Plk3"
"118","Cradd"
"119","Crebbp"
"120","Cry1"
"121","Csnk2a1"
"122","Csnk2a2"
"123","Smc3"
"124","Ctbp1"
"125","Dapk3"
"126","Daxx"
"127","Dctn1"
"128","Ddb1"
"129","Gadd45a"
"130","Ddit3"
"131","Ddx3x"
"132","Dlg1"
"133","Dync1h1"
"134","E2f1"
"135","E2f3"
"136","E2f5"
"137","E4f1"
"138","Mapre1"
"139","Ect2"
"140","Egf"
"141","Egfr"
"142","Eif4e"
"143","Eif4ebp1"
"144","Eps8"
"145","Ercc1"
"146","Ercc2"
"147","Ercc3"
"148","Ptprv"
"149","Esr1"
"150","Smarcad1"
"151","Evi5"
"152","Eya1"
"153","Ezh2"
"154","Fanca"
"155","Fem1b"
"156","Fen1"
"157","Fes"
"158","Fgf10"
"159","Fgfr1"
"160","Fgfr3"
"161","Fhl1"
"162","Ppm1g"
"163","Smc2"
"164","Foxm1"
"165","Flt3l"
"166","Fnta"
"167","Fosl1"
"168","Fzd3"
"169","Gas2"
"170","Gata3"
"171","Kat2a"
"172","Gem"
"173","Gli1"
"174","Gnai2"
"175","Gnai3"
"176","Gpr3"
"177","Grk5"
"178","Cdca3"
"179","Gspt2"
"180","Hcfc1"
"181","Ptpn6"
